,나이__은행마케팅.csv,직업__은행마케팅.csv,혼인여부__은행마케팅.csv,학업__은행마케팅.csv,신용카드 소지 여부__은행마케팅.csv,연봉__은행마케팅.csv,집담보 대출__은행마케팅.csv,기타 대출__은행마케팅.csv,연락 방법__은행마케팅.csv,최근 연락한 날 (일)__은행마케팅.csv,최근 연락한 날 (월)__은행마케팅.csv,최근 연락 기간__은행마케팅.csv,최근 켐페인 참가 여부__은행마케팅.csv,최근 켐페인 이후 시간 소요 (일)__은행마케팅.csv,최근 켐페인 이후 연락 횟수__은행마케팅.csv,이전 마케팅 성공 여부 __은행마케팅.csv,과금 여부__은행마케팅.csv
6808,42,admin.,married,secondary,no,4209,yes,no,unknown,5,jun,57,6,-1,0,unknown,1
6809,38,management,single,tertiary,no,2368,yes,no,cellular,18,may,241,3,-1,0,unknown,1
6810,52,technician,divorced,secondary,no,5102,no,no,cellular,8,aug,117,2,-1,0,unknown,1
6811,33,blue-collar,married,secondary,no,625,yes,no,unknown,28,may,410,1,-1,0,unknown,1
6812,32,management,single,tertiary,no,752,yes,no,cellular,15,jul,256,5,-1,0,unknown,1
6813,43,technician,single,tertiary,no,317,yes,no,cellular,18,jul,106,1,-1,0,unknown,1
6814,55,services,single,secondary,no,1539,no,no,unknown,20,jun,65,2,-1,0,unknown,1
6815,33,student,single,tertiary,no,882,yes,no,cellular,6,feb,311,1,-1,0,unknown,1
6816,28,technician,single,tertiary,no,386,no,no,cellular,25,may,867,1,-1,0,unknown,2
6817,32,management,single,tertiary,no,1169,yes,no,unknown,21,may,322,2,-1,0,unknown,1
6818,51,technician,married,secondary,no,221,yes,no,unknown,7,may,139,3,-1,0,unknown,1
6819,39,admin.,single,secondary,no,1965,yes,no,cellular,8,may,247,1,-1,0,unknown,1
6820,80,housemaid,married,secondary,no,499,no,no,telephone,13,apr,224,2,393,4,failure,1
6821,44,services,married,primary,no,1161,yes,no,unknown,19,may,110,5,-1,0,unknown,1
6822,57,technician,married,secondary,no,950,yes,no,cellular,9,jul,1272,1,-1,0,unknown,1
6823,29,entrepreneur,single,tertiary,no,430,no,yes,cellular,29,jan,624,2,-1,0,unknown,1
6824,42,management,divorced,tertiary,no,266,no,yes,cellular,28,jan,228,1,-1,0,unknown,1
6825,50,self-employed,married,secondary,no,358,yes,yes,cellular,15,may,315,3,367,3,failure,1
6826,54,blue-collar,married,secondary,no,3782,yes,no,unknown,30,may,211,4,-1,0,unknown,1
6827,39,blue-collar,married,primary,no,867,yes,no,unknown,7,may,481,1,-1,0,unknown,1
6828,32,management,single,tertiary,no,1731,yes,yes,unknown,29,may,323,3,-1,0,unknown,1
6829,31,blue-collar,single,primary,no,3466,yes,no,telephone,29,jan,267,3,183,25,other,1
6830,45,technician,married,secondary,no,581,no,no,cellular,8,aug,156,2,-1,0,unknown,1
6831,56,technician,married,secondary,no,2847,no,no,cellular,8,apr,327,1,-1,0,unknown,2
6832,31,management,married,tertiary,no,1251,no,no,cellular,21,aug,282,1,197,5,failure,1
6833,35,management,single,tertiary,no,863,no,no,cellular,11,aug,481,2,-1,0,unknown,1
6834,24,technician,single,secondary,no,288,yes,no,unknown,28,may,185,1,-1,0,unknown,1
6835,52,housemaid,married,secondary,no,1752,no,yes,telephone,21,nov,346,4,123,8,failure,1
6836,50,unknown,single,unknown,no,490,no,no,unknown,12,jun,189,1,-1,0,unknown,1
6837,29,student,single,secondary,no,154,yes,no,cellular,13,may,20,6,358,9,failure,1
6838,28,blue-collar,single,secondary,no,416,yes,no,unknown,13,may,452,2,-1,0,unknown,1
6839,28,student,single,tertiary,no,2306,no,no,cellular,29,oct,140,2,-1,0,unknown,1
6840,39,technician,married,secondary,no,4441,yes,no,unknown,21,may,86,2,-1,0,unknown,1
6841,38,management,married,tertiary,no,223,no,no,cellular,28,jan,63,1,-1,0,unknown,1
6842,43,technician,single,secondary,no,54,yes,no,cellular,30,jul,62,2,-1,0,unknown,1
6843,45,unemployed,single,secondary,no,17609,no,no,cellular,9,feb,222,6,-1,0,unknown,1
6844,41,entrepreneur,married,secondary,no,353,no,no,cellular,19,nov,90,2,-1,0,unknown,1
6845,36,services,married,primary,no,413,yes,no,telephone,13,may,60,1,176,1,failure,1
6846,45,unemployed,married,unknown,no,490,yes,no,cellular,5,feb,776,3,-1,0,unknown,1
6847,44,unemployed,married,secondary,no,317,yes,yes,unknown,1,jun,4,1,-1,0,unknown,1
6848,42,entrepreneur,divorced,tertiary,no,367,yes,no,cellular,10,jul,563,1,-1,0,unknown,1
6849,45,technician,divorced,secondary,no,72,yes,no,cellular,31,jul,115,5,-1,0,unknown,1
6850,41,admin.,married,secondary,no,683,no,yes,cellular,20,nov,77,1,-1,0,unknown,1
6851,37,services,married,primary,no,52,yes,no,unknown,7,may,359,1,-1,0,unknown,1
6852,29,management,married,tertiary,no,1366,yes,no,cellular,29,jan,90,2,245,3,failure,1
6853,46,blue-collar,married,primary,no,2093,no,no,unknown,5,jun,128,2,-1,0,unknown,1
6854,26,self-employed,single,secondary,no,467,yes,yes,unknown,4,jun,90,2,-1,0,unknown,1
6855,51,admin.,married,secondary,no,884,no,no,unknown,19,jun,50,1,-1,0,unknown,1
6856,26,blue-collar,single,secondary,no,2007,no,no,cellular,13,oct,194,1,92,5,success,2
6857,46,management,married,tertiary,no,1906,no,no,cellular,28,aug,44,6,-1,0,unknown,1
6858,42,technician,married,secondary,no,8899,yes,no,cellular,20,nov,75,2,-1,0,unknown,1
6859,32,services,single,secondary,no,159,yes,yes,cellular,14,may,46,1,-1,0,unknown,1
6860,24,student,single,secondary,no,1684,no,no,cellular,6,apr,112,4,-1,0,unknown,1
6861,41,blue-collar,married,primary,no,943,yes,no,unknown,29,may,242,3,-1,0,unknown,1
6862,40,blue-collar,married,primary,no,540,yes,no,unknown,2,jun,21,1,-1,0,unknown,1
6863,40,management,single,tertiary,no,402,yes,no,unknown,30,may,243,3,-1,0,unknown,1
6864,44,services,divorced,secondary,no,496,yes,yes,unknown,29,may,54,15,-1,0,unknown,1
6865,44,unemployed,single,tertiary,no,810,no,no,cellular,4,aug,184,1,-1,0,unknown,1
6866,38,management,married,tertiary,no,691,yes,yes,cellular,4,aug,79,1,-1,0,unknown,1
6867,78,retired,divorced,secondary,no,631,no,no,telephone,11,aug,95,1,-1,0,unknown,1
6868,34,unemployed,married,secondary,no,2126,yes,no,cellular,17,jul,215,2,-1,0,unknown,1
6869,59,management,divorced,tertiary,no,81,no,no,cellular,26,may,140,1,-1,0,unknown,1
6870,79,retired,married,secondary,no,8304,no,no,cellular,9,dec,456,2,275,9,success,2
6871,37,admin.,divorced,secondary,no,496,no,no,cellular,4,feb,118,4,272,3,failure,1
6872,33,management,divorced,tertiary,no,348,no,no,cellular,11,aug,71,2,-1,0,unknown,1
6873,57,retired,married,tertiary,no,3571,no,no,unknown,13,may,708,2,-1,0,unknown,1
6874,48,blue-collar,married,primary,no,235,yes,no,unknown,2,jun,58,4,-1,0,unknown,1
6875,48,blue-collar,married,primary,no,783,no,yes,cellular,6,aug,90,2,-1,0,unknown,1
6876,48,blue-collar,married,secondary,no,1159,yes,yes,cellular,15,may,1181,9,-1,0,unknown,1
6877,43,technician,married,secondary,no,4056,no,no,cellular,4,may,13,6,89,2,failure,1
6878,57,services,married,secondary,no,1556,yes,no,cellular,20,nov,340,1,-1,0,unknown,1
6879,40,services,single,secondary,no,737,yes,no,unknown,12,may,117,2,-1,0,unknown,1
6880,56,services,married,primary,no,966,no,yes,cellular,10,jul,68,1,-1,0,unknown,1
6881,29,technician,single,secondary,no,323,no,no,cellular,27,aug,148,2,94,1,other,1
6882,45,housemaid,married,secondary,no,360,no,no,cellular,4,may,113,1,182,1,success,1
6883,31,admin.,single,secondary,no,160,yes,yes,unknown,20,may,233,2,-1,0,unknown,1
6884,44,management,married,tertiary,no,226,yes,no,cellular,17,nov,76,3,-1,0,unknown,1
6885,27,management,single,tertiary,no,2821,yes,no,cellular,17,apr,186,2,-1,0,unknown,1
6886,52,housemaid,married,secondary,no,14363,no,no,unknown,5,jun,132,1,-1,0,unknown,1
6887,28,technician,single,secondary,no,527,yes,no,cellular,29,jan,161,2,265,1,failure,1
6888,34,management,married,tertiary,no,159,yes,yes,cellular,9,apr,150,1,275,2,other,1
6889,57,admin.,divorced,secondary,no,4378,yes,no,unknown,19,may,78,3,-1,0,unknown,1
6890,43,blue-collar,married,secondary,no,2355,yes,yes,cellular,13,apr,333,3,-1,0,unknown,1
6891,30,entrepreneur,single,secondary,no,265,yes,yes,unknown,3,jun,67,10,-1,0,unknown,1
6892,46,technician,married,secondary,no,278,yes,no,cellular,10,jul,185,1,-1,0,unknown,1
6893,36,services,married,secondary,no,136,no,no,unknown,9,jun,244,3,-1,0,unknown,1
6894,40,technician,married,secondary,no,109,no,no,unknown,20,jun,402,22,-1,0,unknown,1
6895,47,self-employed,married,tertiary,no,1245,no,no,cellular,26,aug,17,15,-1,0,unknown,1
6896,60,technician,married,secondary,no,216,yes,yes,cellular,2,feb,214,1,-1,0,unknown,1
6897,53,admin.,married,secondary,no,7598,yes,no,unknown,23,may,27,7,-1,0,unknown,1
6898,51,blue-collar,married,secondary,no,814,yes,no,cellular,14,may,17,8,-1,0,unknown,1
6899,62,management,divorced,tertiary,no,1619,no,no,cellular,19,oct,534,1,-1,0,unknown,1
6900,31,blue-collar,married,secondary,no,3659,no,no,unknown,2,jun,180,1,-1,0,unknown,1
6901,39,admin.,married,secondary,no,145,yes,yes,cellular,13,may,337,3,330,6,other,1
6902,34,blue-collar,married,primary,no,151,yes,no,cellular,17,jul,546,6,-1,0,unknown,1
6903,45,management,married,tertiary,no,199,no,no,unknown,19,may,95,5,-1,0,unknown,1
6904,33,admin.,married,tertiary,no,55,yes,no,cellular,10,jul,384,1,-1,0,unknown,1
6905,35,technician,married,secondary,no,257,yes,yes,cellular,20,apr,307,4,-1,0,unknown,1
6906,50,blue-collar,divorced,primary,no,1629,yes,no,cellular,14,may,67,1,-1,0,unknown,1
6907,28,blue-collar,married,secondary,no,224,yes,no,unknown,19,may,571,5,-1,0,unknown,1
6908,35,management,married,tertiary,no,82,no,no,cellular,8,aug,507,4,-1,0,unknown,2
6909,24,admin.,single,secondary,no,1052,no,no,cellular,30,apr,354,1,-1,0,unknown,2
6910,36,management,married,tertiary,no,8277,yes,no,cellular,18,nov,613,1,-1,0,unknown,1
6911,63,retired,married,secondary,no,3579,no,no,telephone,11,nov,93,2,-1,0,unknown,1
6912,29,admin.,married,secondary,no,957,yes,yes,cellular,30,jan,258,2,263,3,failure,1
6913,34,blue-collar,married,secondary,no,156,yes,no,cellular,29,jul,393,3,-1,0,unknown,1
6914,59,technician,married,secondary,no,283,no,no,cellular,25,aug,272,4,-1,0,unknown,1
6915,25,blue-collar,single,secondary,no,913,yes,no,cellular,7,jul,113,4,-1,0,unknown,1
6916,52,services,married,secondary,no,540,yes,no,cellular,11,may,154,2,340,2,failure,1
6917,53,housemaid,divorced,primary,no,947,yes,no,unknown,5,may,163,1,-1,0,unknown,1
6918,40,housemaid,divorced,primary,no,2610,yes,no,unknown,14,may,301,3,-1,0,unknown,1
6919,34,management,married,tertiary,no,1906,yes,no,cellular,14,jul,68,3,-1,0,unknown,1
6920,72,retired,married,secondary,no,6253,no,no,telephone,7,sep,456,1,-1,0,unknown,1
6921,55,blue-collar,married,unknown,no,728,yes,no,cellular,25,jul,130,2,-1,0,unknown,1
6922,30,admin.,married,secondary,no,482,no,no,cellular,23,apr,86,1,-1,0,unknown,1
6923,32,technician,single,tertiary,no,178,no,no,cellular,21,aug,159,3,-1,0,unknown,1
6924,53,technician,married,secondary,no,5303,yes,no,telephone,17,apr,320,3,180,1,success,2
6925,29,student,married,unknown,no,2229,no,no,unknown,9,jul,25,1,252,1,other,1
6926,22,student,single,secondary,no,948,no,no,telephone,18,aug,215,1,197,2,failure,2
6927,47,admin.,married,secondary,no,1387,yes,no,cellular,14,oct,158,1,826,1,failure,1
6928,28,student,single,secondary,no,1925,no,no,cellular,25,nov,487,1,97,2,failure,2
6929,49,blue-collar,divorced,primary,no,1280,no,yes,cellular,12,aug,144,2,-1,0,unknown,1
6930,29,technician,divorced,secondary,no,477,yes,yes,cellular,11,may,58,1,305,1,failure,1
6931,34,admin.,married,secondary,no,641,yes,yes,unknown,16,may,467,1,-1,0,unknown,1
6932,50,retired,single,primary,no,208,no,no,unknown,9,jun,51,1,-1,0,unknown,1
6933,36,blue-collar,married,secondary,no,4438,yes,no,unknown,20,may,446,1,-1,0,unknown,2
6934,35,admin.,single,tertiary,no,777,no,yes,cellular,28,may,85,1,-1,0,unknown,1
6935,57,admin.,married,primary,no,1119,no,no,cellular,30,apr,176,2,-1,0,unknown,1
6936,36,self-employed,single,tertiary,no,1240,no,no,cellular,31,jul,812,3,-1,0,unknown,2
6937,50,admin.,divorced,secondary,no,1332,yes,no,unknown,16,may,95,3,-1,0,unknown,1
6938,26,services,single,secondary,no,127,yes,yes,cellular,23,jul,85,3,-1,0,unknown,1
6939,52,technician,married,secondary,no,1076,yes,no,cellular,13,aug,156,2,-1,0,unknown,1
6940,59,housemaid,married,primary,no,88,yes,no,cellular,28,jul,63,5,-1,0,unknown,1
6941,41,technician,married,secondary,no,525,yes,no,cellular,21,jul,108,1,-1,0,unknown,1
6942,49,retired,married,unknown,no,247,no,no,unknown,15,may,213,2,-1,0,unknown,1
6943,48,management,married,tertiary,no,489,yes,no,unknown,13,may,60,1,-1,0,unknown,1
6944,51,technician,married,secondary,no,536,yes,yes,cellular,4,feb,53,1,-1,0,unknown,1
6945,40,admin.,divorced,secondary,no,783,yes,yes,unknown,16,may,171,2,-1,0,unknown,1
6946,34,services,married,secondary,no,457,yes,no,unknown,30,may,67,2,-1,0,unknown,1
6947,59,blue-collar,married,primary,no,2814,no,no,unknown,20,jun,81,3,-1,0,unknown,1
6948,55,blue-collar,married,unknown,no,213,no,no,cellular,14,aug,406,2,-1,0,unknown,1
6949,30,blue-collar,single,secondary,no,163,yes,yes,cellular,23,jul,123,2,-1,0,unknown,1
6950,61,retired,married,primary,no,8729,no,no,cellular,30,oct,480,1,-1,0,unknown,2
6951,42,technician,single,unknown,no,11115,no,no,cellular,10,aug,187,1,102,1,success,2
6952,43,technician,single,secondary,no,214,yes,no,cellular,14,may,335,1,-1,0,unknown,1
6953,60,blue-collar,married,primary,no,4903,no,yes,unknown,9,jun,290,1,-1,0,unknown,1
6954,40,blue-collar,married,unknown,no,486,yes,no,unknown,20,may,97,8,-1,0,unknown,1
6955,52,admin.,married,secondary,no,941,no,no,cellular,4,feb,89,2,-1,0,unknown,1
6956,29,management,married,secondary,no,147,yes,yes,unknown,7,may,376,2,-1,0,unknown,1
6957,50,blue-collar,married,secondary,no,2719,yes,no,cellular,14,may,97,2,-1,0,unknown,1
6958,39,entrepreneur,married,tertiary,no,745,no,no,cellular,8,aug,88,1,-1,0,unknown,1
6959,32,unemployed,single,secondary,no,177,yes,no,unknown,8,may,21,3,-1,0,unknown,1
6960,27,technician,single,secondary,no,1996,yes,no,cellular,5,may,345,1,-1,0,unknown,1
6961,45,admin.,divorced,secondary,no,660,yes,no,unknown,15,may,71,2,-1,0,unknown,1
6962,25,student,single,secondary,no,1747,yes,no,cellular,24,jul,903,1,-1,0,unknown,2
6963,57,blue-collar,married,primary,no,1236,no,no,unknown,18,jun,152,9,-1,0,unknown,1
6964,35,management,single,tertiary,no,1756,no,no,cellular,20,aug,195,1,-1,0,unknown,2
6965,50,technician,married,tertiary,no,3117,no,no,unknown,9,jun,174,1,-1,0,unknown,1
6966,43,admin.,single,secondary,no,309,yes,no,telephone,6,feb,24,5,276,1,other,1
6967,31,technician,single,tertiary,no,932,yes,no,unknown,2,jun,169,1,-1,0,unknown,1
6968,67,management,married,tertiary,no,405,no,no,cellular,7,aug,345,2,-1,0,unknown,2
6969,45,services,single,secondary,no,359,yes,no,unknown,18,jun,41,8,-1,0,unknown,1
6970,33,blue-collar,single,primary,no,777,no,no,cellular,7,jul,263,1,-1,0,unknown,1
6971,57,unknown,married,primary,no,1884,no,no,telephone,28,jun,133,4,-1,0,unknown,1
6972,46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,1
6973,32,services,married,secondary,no,1167,yes,yes,telephone,16,apr,668,3,147,1,failure,1
6974,37,blue-collar,married,secondary,no,132,no,no,unknown,27,may,336,2,-1,0,unknown,1
6975,39,management,married,tertiary,no,2320,no,yes,cellular,20,aug,25,2,-1,0,unknown,1
6976,47,blue-collar,married,primary,no,550,yes,no,unknown,7,may,113,1,-1,0,unknown,1
6977,51,unemployed,married,secondary,no,760,yes,no,unknown,14,may,411,1,-1,0,unknown,1
6978,65,retired,married,secondary,no,571,yes,no,cellular,20,oct,349,1,183,2,success,2
6979,41,services,married,secondary,no,510,yes,no,unknown,9,may,231,2,-1,0,unknown,1
6980,38,admin.,divorced,secondary,no,1314,no,no,cellular,29,aug,156,2,-1,0,unknown,1
6981,31,technician,single,secondary,no,816,no,no,cellular,9,jun,100,2,-1,0,unknown,1
6982,49,housemaid,married,primary,no,3376,no,no,unknown,9,jun,119,3,-1,0,unknown,1
6983,46,blue-collar,married,primary,no,4602,yes,no,telephone,15,may,39,1,-1,0,unknown,1
6984,39,management,married,tertiary,no,55,no,no,cellular,31,jul,216,4,-1,0,unknown,1
6985,46,retired,married,secondary,no,119,no,yes,cellular,30,jul,85,2,-1,0,unknown,1
6986,42,admin.,single,tertiary,no,634,no,no,cellular,31,jul,451,2,-1,0,unknown,1
6987,34,management,single,tertiary,no,2835,yes,no,cellular,12,aug,107,2,-1,0,unknown,1
6988,46,blue-collar,divorced,secondary,no,1815,yes,no,unknown,28,may,232,4,-1,0,unknown,1
6989,34,management,single,unknown,no,1534,yes,no,cellular,16,apr,156,1,147,7,other,1
6990,43,retired,married,primary,no,7298,no,no,unknown,11,jun,36,2,-1,0,unknown,1
6991,48,housemaid,married,primary,no,7195,no,no,cellular,21,nov,609,2,-1,0,unknown,2
6992,56,retired,married,secondary,no,344,yes,no,unknown,15,may,221,1,-1,0,unknown,1
6993,50,unknown,married,unknown,no,558,no,no,cellular,9,jul,464,1,683,6,failure,2
6994,39,unemployed,single,tertiary,no,79,no,no,cellular,2,jun,369,1,-1,0,unknown,1
6995,47,management,married,tertiary,no,186,no,no,cellular,20,nov,70,2,-1,0,unknown,1
6996,49,management,married,tertiary,no,852,yes,no,cellular,20,nov,408,1,-1,0,unknown,1
6997,56,retired,married,secondary,no,3690,yes,yes,unknown,16,may,178,2,-1,0,unknown,1
6998,28,technician,single,secondary,no,1363,no,no,cellular,9,jun,431,3,102,1,success,1
6999,58,admin.,divorced,secondary,no,1947,no,no,telephone,26,oct,228,1,-1,0,unknown,2
7000,41,services,married,secondary,no,446,yes,no,cellular,7,apr,93,3,140,2,failure,1
7001,32,services,divorced,secondary,no,4612,yes,no,cellular,24,jul,937,4,-1,0,unknown,1
7002,33,technician,single,secondary,no,341,no,yes,unknown,12,may,289,3,-1,0,unknown,1
7003,58,technician,married,secondary,no,7554,no,no,telephone,9,feb,167,1,469,1,success,1
7004,61,retired,married,primary,no,56,no,no,cellular,7,sep,288,3,-1,0,unknown,2
7005,39,technician,divorced,tertiary,no,665,yes,no,cellular,8,may,133,8,-1,0,unknown,1
7006,27,management,single,tertiary,no,616,yes,no,cellular,22,may,685,1,101,1,other,2
7007,37,technician,single,tertiary,no,3315,yes,no,cellular,9,apr,820,2,-1,0,unknown,1
7008,31,blue-collar,single,tertiary,no,328,yes,no,cellular,20,nov,89,1,-1,0,unknown,1
7009,56,technician,married,secondary,no,76,yes,no,cellular,28,jul,93,3,-1,0,unknown,1
7010,30,services,single,secondary,no,148,no,yes,cellular,7,jul,482,3,-1,0,unknown,1
7011,33,management,married,tertiary,no,4728,no,no,cellular,14,aug,110,3,-1,0,unknown,1
7012,34,admin.,married,tertiary,no,221,yes,no,unknown,8,may,185,4,-1,0,unknown,1
7013,61,blue-collar,married,primary,no,625,yes,no,unknown,19,may,158,2,-1,0,unknown,1
7014,33,self-employed,single,tertiary,no,1049,no,no,cellular,4,may,126,4,-1,0,unknown,1
7015,33,self-employed,married,tertiary,no,666,yes,no,cellular,16,apr,297,1,-1,0,unknown,1
7016,39,blue-collar,single,secondary,no,519,yes,yes,cellular,5,may,180,3,166,15,failure,1
7017,37,blue-collar,single,secondary,no,1184,yes,no,cellular,20,nov,149,2,-1,0,unknown,1
7018,29,management,single,tertiary,no,2637,yes,no,cellular,18,may,179,3,-1,0,unknown,1
7019,39,management,married,tertiary,no,13021,no,no,cellular,5,aug,425,2,-1,0,unknown,1
7020,58,blue-collar,married,secondary,no,1457,yes,no,cellular,8,jul,144,4,-1,0,unknown,1
7021,56,blue-collar,married,primary,no,828,yes,no,cellular,14,may,214,1,349,1,failure,1
7022,26,blue-collar,married,primary,no,5116,yes,no,cellular,22,jul,246,3,-1,0,unknown,1
7023,27,technician,single,tertiary,no,261,yes,yes,cellular,30,jan,195,2,-1,0,unknown,1
7024,34,technician,single,secondary,no,2683,no,no,cellular,28,jul,73,2,-1,0,unknown,1
7025,55,management,married,tertiary,no,86,no,no,telephone,16,jun,64,1,-1,0,unknown,1
7026,46,blue-collar,married,secondary,no,1147,yes,no,cellular,20,apr,720,1,-1,0,unknown,2
7027,26,management,single,tertiary,no,498,yes,no,unknown,8,may,99,3,-1,0,unknown,1
7028,32,unemployed,single,secondary,no,199,yes,no,cellular,17,apr,70,1,336,1,failure,1
7029,36,admin.,single,secondary,no,119,no,no,cellular,2,jun,93,2,-1,0,unknown,1
7030,39,blue-collar,married,secondary,no,1386,yes,yes,unknown,4,jun,193,2,-1,0,unknown,1
7031,36,management,married,tertiary,no,1790,yes,no,cellular,28,jun,132,3,392,2,other,1
7032,48,services,married,secondary,no,2877,yes,no,cellular,18,nov,77,1,168,1,failure,1
7033,47,blue-collar,married,primary,no,613,yes,no,cellular,29,jan,49,3,255,2,other,1
7034,34,blue-collar,single,secondary,no,13683,yes,no,cellular,20,apr,92,3,321,3,failure,1
7035,58,self-employed,married,secondary,no,28318,yes,no,cellular,14,may,168,2,-1,0,unknown,1
7036,45,technician,divorced,secondary,no,1738,no,no,cellular,21,nov,79,1,106,2,failure,1
7037,39,technician,married,secondary,no,3050,yes,no,unknown,6,jun,236,7,-1,0,unknown,1
7038,45,management,married,secondary,no,424,yes,yes,cellular,12,aug,216,5,-1,0,unknown,1
7039,28,services,single,secondary,no,221,yes,no,cellular,15,may,256,1,-1,0,unknown,1
7040,60,blue-collar,divorced,primary,no,7601,yes,no,unknown,8,may,285,1,-1,0,unknown,1
7041,59,retired,married,secondary,no,2768,no,yes,cellular,8,aug,94,5,-1,0,unknown,1
7042,39,services,married,secondary,no,861,yes,no,cellular,30,jul,218,4,-1,0,unknown,1
7043,42,technician,single,tertiary,no,671,yes,no,unknown,16,jun,14,20,-1,0,unknown,1
7044,80,retired,married,primary,no,155,no,no,telephone,9,dec,343,2,-1,0,unknown,2
7045,23,blue-collar,single,secondary,no,5145,yes,no,unknown,30,may,229,3,-1,0,unknown,1
7046,48,blue-collar,married,primary,no,199,no,no,telephone,18,aug,29,2,-1,0,unknown,1
7047,31,management,single,tertiary,no,775,yes,no,cellular,20,apr,207,1,308,2,failure,1
7048,37,services,married,secondary,no,3429,yes,yes,cellular,8,may,151,4,171,11,other,1
7049,40,services,married,secondary,no,113,yes,no,unknown,4,jun,126,1,-1,0,unknown,1
7050,50,technician,married,unknown,no,413,yes,no,unknown,19,may,243,2,-1,0,unknown,1
7051,36,student,married,primary,no,3503,no,no,unknown,6,jun,31,1,-1,0,unknown,1
7052,48,services,divorced,primary,no,927,no,no,unknown,6,jun,201,6,-1,0,unknown,1
7053,39,admin.,single,secondary,no,6512,no,no,unknown,20,jun,16,6,-1,0,unknown,1
7054,31,blue-collar,single,secondary,no,770,yes,no,cellular,16,apr,178,1,-1,0,unknown,1
7055,55,blue-collar,married,secondary,no,1901,no,no,cellular,18,aug,143,4,-1,0,unknown,1
7056,52,blue-collar,married,secondary,no,5275,no,yes,cellular,22,jul,1029,3,-1,0,unknown,1
7057,39,management,married,tertiary,no,1041,no,no,cellular,27,aug,116,7,-1,0,unknown,1
7058,34,management,single,tertiary,no,382,no,no,cellular,3,nov,193,1,-1,0,unknown,1
7059,25,admin.,married,unknown,no,349,yes,no,cellular,22,jul,1037,8,-1,0,unknown,2
7060,35,technician,single,secondary,no,705,yes,yes,cellular,15,may,177,1,361,3,failure,1
7061,43,services,married,secondary,no,87,no,no,cellular,22,jul,183,1,-1,0,unknown,1
7062,36,management,married,unknown,no,1597,yes,no,cellular,21,nov,137,1,-1,0,unknown,1
7063,54,technician,single,unknown,no,1695,no,no,unknown,16,jun,168,1,-1,0,unknown,1
7064,28,blue-collar,married,secondary,no,379,no,yes,cellular,17,jul,164,1,-1,0,unknown,1
7065,39,technician,married,tertiary,no,93,no,no,cellular,20,aug,162,2,-1,0,unknown,1
7066,50,management,married,unknown,no,8345,no,no,cellular,27,feb,194,1,261,1,failure,2
7067,32,self-employed,single,tertiary,no,519,yes,no,cellular,18,nov,72,1,-1,0,unknown,1
7068,33,blue-collar,married,primary,no,2665,yes,no,unknown,23,may,358,2,-1,0,unknown,1
7069,31,management,single,tertiary,no,9629,no,no,cellular,7,oct,180,2,96,2,failure,1
7070,30,blue-collar,divorced,primary,no,2597,yes,no,cellular,11,may,49,1,349,3,failure,1
7071,38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,jul,1484,24,-1,0,unknown,2
7072,57,blue-collar,married,primary,no,133,no,yes,cellular,30,jul,173,4,-1,0,unknown,1
7073,53,retired,married,secondary,no,366,no,yes,cellular,16,jul,171,6,-1,0,unknown,1
7074,38,management,married,tertiary,no,93,yes,no,cellular,26,aug,69,4,-1,0,unknown,1
7075,55,management,married,tertiary,no,134,no,no,cellular,12,aug,1650,16,-1,0,unknown,1
7076,60,housemaid,married,primary,no,182,no,no,cellular,9,aug,182,2,95,11,failure,1
7077,26,blue-collar,married,secondary,no,986,yes,no,unknown,5,jun,209,3,-1,0,unknown,1
7078,28,blue-collar,single,secondary,no,362,yes,no,unknown,19,may,263,1,-1,0,unknown,1
7079,39,entrepreneur,married,secondary,no,2139,yes,no,cellular,15,may,576,4,371,1,failure,2
7080,59,management,married,tertiary,no,315,no,no,cellular,7,sep,98,2,-1,0,unknown,1
7081,34,services,married,secondary,yes,421,yes,no,unknown,20,may,247,3,-1,0,unknown,1
7082,34,technician,married,secondary,no,1234,yes,no,cellular,8,may,106,1,288,6,failure,1
7083,37,management,married,tertiary,no,6771,no,no,cellular,7,sep,337,1,186,1,success,2
7084,74,retired,divorced,primary,no,166,no,no,cellular,13,aug,99,1,-1,0,unknown,1
7085,51,management,single,tertiary,no,297,yes,no,cellular,15,may,415,4,375,1,failure,2
7086,32,management,married,tertiary,no,2213,no,no,cellular,29,jan,125,2,154,7,failure,1
7087,54,services,married,primary,no,1059,no,no,cellular,7,aug,147,3,-1,0,unknown,1
7088,58,technician,married,tertiary,no,883,no,no,cellular,1,jun,373,2,-1,0,unknown,1
7089,35,management,married,secondary,no,674,no,no,cellular,8,aug,87,2,-1,0,unknown,1
7090,44,management,married,tertiary,no,5581,no,no,cellular,8,aug,202,2,-1,0,unknown,1
7091,43,blue-collar,married,primary,no,6614,no,no,unknown,30,may,192,4,-1,0,unknown,1
7092,52,technician,married,secondary,no,598,no,no,unknown,14,may,266,2,-1,0,unknown,1
7093,55,entrepreneur,married,secondary,no,5838,no,no,unknown,17,jun,115,2,-1,0,unknown,1
7094,41,services,divorced,secondary,no,5766,yes,yes,cellular,5,may,243,1,169,3,failure,1
7095,23,unemployed,single,secondary,no,19690,no,no,cellular,3,jul,473,1,-1,0,unknown,1
